plan_id,group_id,discipline,teacher_id,hours_per_semester,semester,lesson_type,weeks_parity
P001,G013,Web-технологии,T015,72,Весенний,Семинар,Четные
P002,G076,Статистика,T011,108,Весенний,Семинар,Нечетные
P003,G017,Программирование,T014,108,Осенний-Зимний,Лабораторная,Оба
P004,G036,Алгоритмы,T008,108,Весенний,Семинар,Нечетные
P005,G030,Финансы,T009,108,Весенний,Лекция,Оба
P006,G042,Программирование,T007,36,Осенний-Зимний,Семинар,Четные
P007,G025,Операционные системы,T009,108,Весенний,Семинар,Оба
P008,G076,Философия,T014,36,Весенний,Лабораторная,Оба
P009,G005,Программирование,T001,72,Весенний,Семинар,Нечетные
P010,G081,Право,T003,36,Осенний-Зимний,Лабораторная,Оба
P011,G043,Компьютерные сети,T012,72,Весенний,Семинар,Четные
P012,G002,Математический анализ,T010,36,Осенний-Зимний,Лабораторная,Нечетные
P013,G084,Право,T008,36,Весенний,Лабораторная,Нечетные
P014,G053,История,T004,108,Весенний,Лекция,Оба
P015,G043,Web-технологии,T009,108,Весенний,Лабораторная,Оба
P016,G073,Право,T013,36,Осенний-Зимний,Лекция,Нечетные
P017,G076,Информационные системы,T014,72,Весенний,Лекция,Оба
P018,G014,Компьютерные сети,T005,36,Весенний,Лекция,Нечетные
P019,G050,Программирование,T001,108,Весенний,Лабораторная,Нечетные
P020,G059,Компьютерные сети,T008,108,Осенний-Зимний,Лекция,Четные
P021,G039,Информационные системы,T015,36,Осенний-Зимний,Лекция,Оба
P022,G009,Программирование,T004,72,Осенний-Зимний,Лекция,Нечетные
P023,G017,Финансы,T006,108,Осенний-Зимний,Семинар,Четные
P024,G073,Экономика,T013,36,Осенний-Зимний,Лабораторная,Нечетные
P025,G053,Программирование,T014,72,Осенний-Зимний,Лабораторная,Четные
P026,G060,Информационные системы,T013,36,Осенний-Зимний,Лабораторная,Оба
P027,G083,Дискретная математика,T005,36,Осенний-Зимний,Лекция,Оба
P028,G079,Базы данных,T015,72,Осенний-Зимний,Лабораторная,Четные
P029,G075,Бухгалтерский учет,T011,72,Весенний,Семинар,Оба
P030,G003,Базы данных,T009,108,Осенний-Зимний,Лабораторная,Оба
